,word1,word2,similarity
0,water,shortage,2.714285714
1,horse,wedding,2.266666667
2,plays,losses,3.2
3,classics,advertiser,2.25
4,latin,credit,2.0625
5,ship,ballots,2.3125
6,mistake,error,4.352941176
7,disease,plague,4.117647058999999
8,sake,shade,2.529411765
9,saints,observatory,1.9375
10,treaty,wheat,1.8125
11,texas,death,1.533333333
12,republicans,challenge,2.3125
13,admiralty,intensity,2.647058824
14,heroin,marijuana,3.375
15,scottish,commuters,2.6875
16,apollo,myth,2.6
17,film,cautious,2.125
18,exhibition,art,4.117647058999999
19,chocolate,candy,3.764705882
20,republic,candidate,2.8125
21,gospel,church,4.0625
22,singapore,sanctions,2.1176470590000003
23,english,french,3.823529412
24,exile,church,2.9411764710000003
25,navy,coordinator,2.235294118
26,adventure,flood,2.4375
27,radar,plane,3.235294118
28,pacific,ocean,4.266666667
29,scotch,liquor,4.571428571
30,kennedy,gun,3.0
31,garfield,cat,2.866666667
32,scale,budget,3.5
33,rhythm,blues,3.071428571
34,rich,privileges,3.2
36,marble,marching,2.615384615
39,battleship,army,4.2352941180000006
40,medium,organization,2.5625
41,pennsylvania,writer,1.466666667
42,hamlet,poet,3.882352941
43,battle,prisoners,3.7058823530000002
44,guild,smith,2.75
45,mud,soil,4.2352941180000006
47,mussolini,stability,2.133333333
48,lincoln,division,2.4375
49,slaves,insured,2.2
50,summer,winter,4.375
51,integration,dignity,3.0588235289999997
52,money,quota,2.5
53,honolulu,vacation,3.6875
55,cheers,musician,2.823529412
56,session,surprises,1.8125
57,billion,campaigning,2.5714285709999998
58,perjury,soybean,2.0625
59,forswearing,perjury,3.3125
60,costume,halloween,3.4375
61,bulgarian,nurses,1.941176471
62,costume,ultimate,2.5
63,faith,judging,2.235294118
64,france,bridges,2.235294118
66,recreation,dish,1.4
67,intelligence,troubles,1.625
68,germany,worst,1.4375
69,chaos,death,2.75
70,sydney,hancock,2.857142857
71,sabbath,stevenson,2.214285714
72,espionage,passport,2.3125
73,pipe,convertible,2.0
75,salute,patterns,2.235294118
76,radiation,costumes,1.5625
77,horace,grief,1.764705882
78,sale,rental,3.470588235
79,open,close,4.058823529
81,propaganda,germany,1.705882353
83,mirror,duel,1.928571429
84,probability,hanging,2.058823529
85,africa,theater,1.5
86,hell,heaven,4.117647058999999
87,mussolini,italy,3.0
88,composer,beethoven,3.6470588239999997
90,brussels,sweden,3.176470588
91,neutral,parish,1.6
92,emotion,taxation,1.733333333
93,louisiana,simple,2.0
94,quarantine,disease,3.0
96,bronze,suspicion,2.0
97,pearl,interim,2.352941176
98,artist,paint,4.117647058999999
99,relay,family,2.0625
100,art,mortality,2.2941176469999998
101,food,investment,2.25
102,alt,tenor,2.692307692
103,catholics,protestant,3.5625
104,militia,landlord,3.0625
105,battle,warships,4.176470588
107,coil,ashes,3.117647059
108,poland,russia,4.0
109,explosive,builders,2.4375
110,aeronautics,plane,4.277777778
111,charge,sentence,3.133333333
113,drink,alcohol,4.352941176
114,stability,species,2.375
115,colonies,depression,2.0
116,easter,preference,2.0625
117,genius,intellect,4.090909091
119,slavery,african,2.8
120,jurisdiction,law,4.454545455
121,saints,repeal,1.5555555559999998
122,conspiracy,campaign,2.166666667
123,operator,extracts,2.214285714
124,physician,action,2.153846154
125,electronics,guess,1.9166666669999999
126,slavery,diamond,2.285714286
127,quarterback,sport,3.142857143
129,slavery,klan,2.230769231
130,heroin,shoot,2.692307692
131,birds,disturbances,1.692307692
132,palestinians,turks,2.5
133,citizenship,court,2.5
134,immunity,violation,2.076923077
136,chile,plates,2.692307692
137,abraham,stranger,1.846153846
138,kansas,city,3.769230769
139,month,year,3.857142857
140,month,day,3.857142857
141,amateur,actor,2.333333333
142,afghanistan,war,3.384615385
143,transmission,maxwell,2.25
146,drawing,music,2.583333333
147,exile,pledges,2.307692308
148,adventure,sixteen,1.5384615380000002
149,exile,threats,2.166666667
150,concrete,wings,1.428571429
151,seizure,bishops,2.0
152,submarine,sea,3.857142857
153,villa,mayor,2.25
155,nature,forest,3.6363636360000005
156,chronicle,young,1.9
157,radical,bishops,1.8181818180000002
158,pakistan,radical,2.875
159,fire,water,4.266666667
160,gossip,nuisance,3.0625
161,con,examiner,2.266666667
162,satellite,space,3.75
163,essay,boston,2.0
164,miniature,statue,3.6
165,spill,pollution,3.5
166,minister,council,3.5625
167,landscape,mountain,3.5625
168,religion,remedy,2.5625
169,ship,storm,3.5
170,college,scientist,2.8125
172,afghanistan,wise,2.066666667
173,trinity,religion,3.133333333
174,homer,odyssey,2.857142857
175,parish,clue,2.4375
176,actress,actor,4.0625
177,patent,professionals,2.375
179,acre,earthquake,2.125
180,football,justice,1.8
181,gambling,money,3.75
183,cardinals,villages,2.375
184,life,death,4.103448276
185,artillery,sanctions,2.4285714290000002
187,cell,brick,3.285714286
188,knowledge,promoter,2.642857143
189,adventure,rails,2.5714285709999998
190,houston,crash,2.357142857
191,oxford,subcommittee,2.642857143
192,militia,weapon,3.785714286
193,manufacturer,meat,1.857142857
194,damages,reaction,3.071428571
195,sea,fishing,4.3571428569999995
196,broadcasting,athletics,3.0
197,mystery,expedition,2.538461538
198,kremlin,soviets,3.166666667
199,pig,blaze,1.75
200,riverside,vietnamese,2.25
203,pork,blaze,2.230769231
204,feet,international,1.9166666669999999
205,radical,uniform,2.5
207,mozart,wagner,3.166666667
208,soccer,boxing,3.4
209,radical,roles,2.75
211,sales,season,2.307692308
212,homeless,refugees,3.615384615
213,pakistan,repair,1.75
214,athens,painting,2.2941176469999998
215,tiger,woods,3.375
216,aircraft,plane,4.473684211
217,enterprise,bankruptcy,2.5
218,homer,springfield,2.833333333
219,coin,awards,2.166666667
220,rhodes,native,2.25
221,soccer,curator,2.125
222,gasoline,stock,2.888888889
224,rapid,singapore,1.764705882
225,coin,banker,3.631578947
226,london,correspondence,1.9444444440000002
227,pop,sex,2.6
228,medicine,bread,2.176470588
229,asia,animal,1.5555555559999998
230,pop,clubhouse,3.210526316
231,nazi,defensive,2.055555556
232,earth,poles,3.421052632
234,day,independence,3.473684211
235,controversy,pitch,2.375
236,stock,gasoline,3.166666667
237,composers,mozart,3.833333333
238,tone,piano,3.722222222
239,paris,chef,2.111111111
241,bankruptcy,chronicle,2.0
242,lebanon,war,2.722222222
243,israel,terror,3.0555555560000003
244,angola,military,2.9411764710000003
245,chemistry,patients,2.357142857
246,munich,constitution,3.071428571
247,piano,theater,3.266666667
248,poetry,artist,3.8
250,religion,abortion,2.076923077
251,jazz,music,4.533333333
252,government,transportation,3.0
253,color,wine,2.5333333330000003
254,jackson,quota,1.692307692
255,boat,negroes,2.0
257,republicans,friedman,2.416666667
258,politics,brokerage,2.5
259,russian,stalin,3.357142857
260,love,philip,2.5
261,jamaica,queens,3.076923077
262,dollar,asylum,1.846153846
263,bridge,rowing,2.785714286
264,berlin,germany,4.0
265,funeral,death,4.714285714
266,albert,einstein,4.266666667
267,gulf,shore,3.857142857
268,ecuador,argentina,3.266666667
269,britain,france,3.714285714
270,sports,score,3.866666667
271,socialism,capitalism,3.785714286
272,treaty,peace,4.166666667
273,exchange,market,4.266666667
274,marriage,anniversary,4.333333333
